,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SqFtPerRoom,Total_Home_Quality,Total_Bathrooms,HighQualSF
0,5,2,80.0,11622,1,3,3,0,4,0,12,1,2,0,2,5,6,1961,1,0,10,12,2,0.0,3,4,1,4,4,3,5,468.0,3,144.0,270.0,882.0,0,4,1,3,896,0,0,896,0.0,0.0,1,0,2,1,3,5,6,0,1,1961.0,3,1.0,730.0,4,5,2,140,0,0,0,120,0,0,8,4,8,4,128.0,11,1.0,896
1,5,3,81.0,14267,1,0,3,0,0,0,12,2,2,0,2,6,6,1958,3,0,11,13,1,108.0,3,4,1,4,4,3,0,923.0,6,0.0,406.0,1329.0,0,4,1,3,1329,0,0,1329,0.0,0.0,1,1,3,1,2,6,6,0,1,1958.0,3,1.0,312.0,4,5,2,393,36,0,0,0,0,12500,8,4,8,4,147.66666666666666,12,1.5,1329
2,10,3,74.0,13830,1,0,3,0,4,0,8,2,2,0,4,5,5,1997,1,0,10,12,2,0.0,3,4,2,2,4,3,2,791.0,6,0.0,137.0,928.0,0,2,1,3,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,6,1,1,1997.0,0,2.0,482.0,4,5,2,212,34,0,0,0,0,0,5,4,8,4,162.9,10,2.5,1629
3,10,3,78.0,9978,1,0,3,0,4,0,8,2,2,0,4,6,6,1998,1,0,10,12,1,20.0,3,4,2,4,4,3,2,602.0,6,0.0,324.0,926.0,0,0,1,3,926,678,0,1604,0.0,0.0,2,1,3,1,2,7,6,1,1,1998.0,0,2.0,470.0,4,5,2,360,36,0,0,0,0,0,8,4,8,4,145.8181818181818,12,2.5,1604
4,0,3,43.0,5005,1,0,1,0,4,0,22,2,2,4,2,8,5,1992,1,0,6,6,2,0.0,2,4,2,2,4,3,0,263.0,6,0.0,1017.0,1280.0,0,0,1,3,1280,0,0,1280,0.0,0.0,2,0,2,1,2,5,6,0,1,1992.0,2,2.0,506.0,4,5,2,0,82,0,0,144,0,0,0,4,8,4,160.0,13,2.0,1280
5,10,3,75.0,10000,1,0,3,0,0,0,8,2,2,0,4,6,5,1993,1,0,6,6,2,0.0,3,4,2,2,4,3,6,0.0,6,0.0,763.0,763.0,0,2,1,3,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,6,1,1,1993.0,0,2.0,440.0,4,5,2,157,84,0,0,0,0,0,6,4,8,4,150.45454545454547,11,2.5,1655
6,5,3,67.23902639392273,7980,1,0,3,0,4,0,8,2,2,0,2,6,7,1992,1,0,6,6,2,0.0,3,2,2,2,4,3,0,935.0,6,0.0,233.0,1168.0,0,0,1,3,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,6,0,1,1992.0,0,2.0,420.0,4,5,2,483,21,0,0,0,0,500,5,4,8,4,131.88888888888889,13,3.0,1187
7,10,3,63.0,8402,1,0,3,0,4,0,8,2,2,0,4,6,5,1998,1,0,10,12,2,0.0,3,4,2,2,4,3,6,0.0,6,0.0,789.0,789.0,0,2,1,3,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,6,1,1,1998.0,0,2.0,393.0,4,5,2,0,75,0,0,0,0,0,7,4,8,4,133.1818181818182,11,2.5,1465
8,5,3,85.0,10176,1,3,3,0,4,0,8,2,2,0,2,7,5,1990,1,0,6,6,2,0.0,3,4,2,2,4,1,2,637.0,6,0.0,663.0,1300.0,0,2,1,3,1341,0,0,1341,1.0,0.0,1,1,2,1,2,5,6,1,1,1990.0,3,2.0,506.0,4,5,2,192,0,0,0,0,0,0,4,4,8,4,167.625,12,2.5,1341
9,5,3,70.0,8400,1,3,3,0,0,0,12,2,2,0,2,4,5,1970,1,0,8,9,2,0.0,3,4,1,4,4,3,0,804.0,5,78.0,0.0,882.0,0,4,1,3,882,0,0,882,1.0,0.0,1,0,2,1,3,4,6,0,1,1970.0,0,2.0,525.0,4,5,2,240,0,0,0,0,0,0,6,4,8,4,147.0,9,2.0,882
10,0,2,26.0,5858,1,0,3,0,2,0,12,2,2,4,2,7,5,1999,1,0,7,8,2,0.0,2,4,2,2,4,3,2,1051.0,1,0.0,354.0,1405.0,0,0,1,3,1337,0,0,1337,1.0,0.0,2,0,2,1,2,5,6,1,1,1999.0,0,2.0,511.0,4,5,2,203,68,0,0,0,0,0,8,4,8,4,167.125,12,3.0,1337
11,2,4,21.0,1680,1,3,3,0,4,0,2,2,2,3,4,6,5,1971,1,0,6,6,1,504.0,3,4,1,4,4,3,5,156.0,6,0.0,327.0,483.0,0,4,1,3,483,504,0,987,0.0,0.0,1,1,2,1,3,5,6,0,5,1971.0,3,1.0,264.0,4,5,2,275,0,0,0,0,0,0,4,4,0,4,123.375,11,1.5,987
12,2,4,21.0,1680,1,3,3,0,4,0,2,2,2,3,4,5,5,1971,1,0,6,6,1,492.0,3,4,1,4,4,3,5,300.0,6,0.0,225.0,525.0,0,4,1,3,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,6,0,5,1997.0,3,1.0,320.0,4,5,2,0,0,0,0,0,0,0,5,4,8,4,121.33333333333333,10,1.5,1092
13,2,3,24.0,2280,1,3,3,0,2,0,13,2,2,3,4,6,6,1975,1,0,8,2,2,0.0,3,4,1,4,4,3,0,514.0,6,0.0,341.0,855.0,0,4,1,3,855,601,0,1456,0.0,0.0,2,1,3,1,2,6,6,1,1,1975.0,3,2.0,440.0,4,5,2,173,0,0,0,0,0,0,8,4,8,4,145.6,12,2.5,1456
